match_id,hero,role,lane,midas_team,buy_sec,ref_bucket,nw_diff_raw,midas_nw_adv,total_nw,nw_adv_pct_total,nw_adv_pct_buyer,band,band_label,expected_win,actual_win,delta
8716599074,ogre_magi,Support,Offlane,radiant,764,720,180,180,36676,0.49,0.98,9,45-50%,0.5046,1,0.4954
8716599158,warlock,Support,Safelane,radiant,1377,1320,2684,2684,73630,3.65,7.03,11,55-60%,0.6066,1,0.3934
8716599293,ogre_magi,Support,Offlane,radiant,1532,1500,2031,2031,85215,2.38,4.66,10,50-55%,0.5592,1,0.4408
8716599299,invoker,Core,Mid,radiant,637,600,2441,2441,31239,7.81,14.5,16,80-85%,0.7079,1,0.2921
8716599331,ogre_magi,Core,Mid,dire,825,780,-2199,2199,46765,4.7,8.98,14,70-75%,0.6882,1,0.3118
8716599359,invoker,Core,Mid,dire,575,540,-3340,3340,24700,13.52,23.82,18,90-95%,0.7792,1,0.2208
8716599394,ogre_magi,Core,Offlane,dire,747,690,-3553,3553,36153,9.83,17.9,17,85-90%,0.7772,1,0.2228
8716599447,ogre_magi,Support,Safelane,radiant,1140,1110,-3893,-3893,67349,-5.78,-12.27,5,25-30%,0.3323,0,-0.3323
8716599517,ogre_magi,Core,Offlane,dire,806,750,979,-979,39467,-2.48,-5.09,7,35-40%,0.4268,1,0.5732
8716599609,alchemist,Support,Safelane,dire,677,630,-2204,2204,31126,7.08,13.23,15,75-80%,0.6886,1,0.3114
8716599668,furion,Roamer,Offlane,radiant,831,780,-840,-840,42074,-2.0,-4.07,7,35-40%,0.4211,0,-0.4211
8716599683,ogre_magi,Support,Safelane,dire,981,930,4612,-4612,45168,-10.21,-22.74,3,15-20%,0.2516,0,-0.2516
8716599818,ogre_magi,Support,Offlane,dire,941,900,-638,638,46522,1.37,2.71,10,50-55%,0.5356,1,0.4644
8716599878,bloodseeker,Core,Mid,radiant,804,750,2160,2160,38784,5.57,10.55,14,70-75%,0.6714,0,-0.6714
8716599893,sniper,Core,Safelane,dire,828,780,3421,-3421,42655,-8.02,-17.44,3,15-20%,0.2815,0,-0.2815
8716599936,invoker,Core,Mid,radiant,584,540,-333,-333,27003,-1.23,-2.5,8,40-45%,0.4852,1,0.5148
8716599946,ogre_magi,Core,Mid,dire,566,510,464,-464,27572,-1.68,-3.42,7,35-40%,0.445,0,-0.445
8716599951,nyx_assassin,Core,Offlane,radiant,436,390,-1056,-1056,19948,-5.29,-11.18,4,20-25%,0.3779,1,0.6221
8716600005,tiny,Core,Safelane,dire,822,780,36,-36,36404,-0.1,-0.2,9,45-50%,0.5034,0,-0.5034
8716600022,invoker,Core,Mid,radiant,754,720,1003,1003,35777,2.8,5.45,11,55-60%,0.5813,1,0.4187
8716600122,ogre_magi,Core,Offlane,radiant,835,780,2875,2875,41241,6.97,13.03,15,75-80%,0.7043,1,0.2957
8716600128,ogre_magi,Support,Safelane,radiant,1309,1260,-6044,-6044,72376,-8.35,-18.22,4,20-25%,0.26,1,0.74
8716600145,ogre_magi,Support,Safelane,dire,1025,990,-178,178,52110,0.34,0.68,9,45-50%,0.5019,0,-0.5019
8716600250,ogre_magi,Core,Offlane,radiant,626,570,836,836,27068,3.09,5.99,12,60-65%,0.6024,0,-0.6024
8716600263,silencer,Core,Mid,radiant,761,720,-3079,-3079,35443,-8.69,-19.03,3,15-20%,0.2948,0,-0.2948
8716600284,nevermore,Core,Safelane,dire,811,780,233,-233,47439,-0.49,-0.99,8,40-45%,0.4754,0,-0.4754
8716600312,invoker,Core,Mid,dire,472,420,1969,-1969,22551,-8.73,-19.13,1,5-10%,0.2668,0,-0.2668
