match_id,hero,role,lane,role_cat,midas_team,buy_sec,ref_bucket,personal_nw_adv,band,band_label,expected_win,actual_win,delta
8731597196,invoker,Core,Mid,mid,dire,551,510,-573,5,Behind,0.432273,0,-0.432273
8731597203,obsidian_destroyer,Core,Mid,mid,radiant,453,420,897,17,Very Ahead,0.614751,0,-0.614751
8731597205,ogre_magi,Support,Safelane,support,radiant,1183,1140,473,12,Ahead,0.552658,1,0.447342
8731597237,ogre_magi,Support,Offlane,support,dire,1090,1050,-794,5,Behind,0.418321,0,-0.418321
8731597254,venomancer,Support,Safelane,support,dire,824,780,-88,9,Even,0.485579,0,-0.485579
8731597256,ogre_magi,Support,Offlane,support,radiant,1403,1350,-1964,3,Very Behind,0.330533,0,-0.330533
8731597257,invoker,Core,Mid,mid,radiant,823,780,-2045,2,Very Behind,0.320724,1,0.679276
8731597264,ogre_magi,Support,Offlane,support,radiant,1014,960,-424,7,Behind,0.466044,1,0.533956
8731597267,ogre_magi,Support,Offlane,support,radiant,1355,1320,-802,6,Behind,0.405507,1,0.594493
8731597310,tinker,Core,Mid,mid,dire,866,810,-2208,1,Very Behind,0.273386,0,-0.273386
8731597332,ogre_magi,Core,Offlane,offlane,dire,798,750,-600,6,Behind,0.429325,1,0.570675
8731597354,invoker,Core,Mid,mid,radiant,671,630,672,14,Ahead,0.585832,1,0.414168
8731597355,invoker,Core,Mid,mid,dire,731,690,-3616,0,Very Behind,0.230997,0,-0.230997
8731597359,ogre_magi,Support,Offlane,support,radiant,907,870,-812,4,Behind,0.420508,1,0.579492
8731597360,invoker,Support,Safelane,support,dire,1213,1170,-1561,3,Very Behind,0.348129,0,-0.348129
8731597405,obsidian_destroyer,Core,Mid,mid,dire,672,630,1994,18,Very Ahead,0.692864,0,-0.692864
8731597476,ogre_magi,Support,Offlane,support,dire,1129,1080,1165,16,Very Ahead,0.631705,1,0.368295
8731597527,ogre_magi,Support,Safelane,support,radiant,1899,1860,-1753,5,Behind,0.354498,0,-0.354498
8731597594,obsidian_destroyer,Core,Mid,mid,dire,609,570,2104,19,Very Ahead,0.738958,0,-0.738958
8731597595,windrunner,Core,Mid,mid,radiant,912,870,1551,16,Very Ahead,0.662492,1,0.337508
8731597618,ogre_magi,Support,Offlane,support,dire,679,630,1425,19,Very Ahead,0.640394,1,0.359606
8731597625,ogre_magi,Support,Offlane,support,radiant,1187,1140,-522,7,Behind,0.444331,1,0.555669
8731597645,furion,Core,Mid,mid,radiant,612,570,-1753,1,Very Behind,0.330701,0,-0.330701
8731597646,alchemist,Support,Safelane,support,radiant,735,690,1686,19,Very Ahead,0.662017,1,0.337983
8731597653,phoenix,Core,Offlane,offlane,dire,758,720,1338,17,Very Ahead,0.674885,1,0.325115
8731597698,techies,Support,Offlane,support,radiant,944,900,1029,16,Very Ahead,0.611885,1,0.388115
8731597724,slark,Core,Safelane,carry,dire,692,660,-984,3,Very Behind,0.335412,0,-0.335412
8731597727,ogre_magi,Core,Offlane,offlane,radiant,722,690,667,14,Ahead,0.595082,1,0.404918
8731597748,silencer,Core,Mid,mid,dire,884,840,-565,7,Behind,0.439974,0,-0.439974
8731597752,ogre_magi,Support,Offlane,support,radiant,1065,1020,-418,7,Behind,0.443105,1,0.556895
8731597790,brewmaster,Support,Offlane,support,radiant,1176,1140,60,10,Even,0.51009,0,-0.51009
8731597811,ogre_magi,Support,Offlane,support,radiant,969,930,-1889,0,Very Behind,0.310327,0,-0.310327
8731597839,invoker,Core,Mid,mid,dire,622,570,104,10,Even,0.523194,0,-0.523194
8731597844,ogre_magi,Core,Offlane,offlane,dire,1065,1020,-2663,1,Very Behind,0.226913,1,0.773087
8731597864,ogre_magi,Core,Offlane,offlane,dire,1135,1080,-3145,1,Very Behind,0.210353,1,0.789647
8731597886,omniknight,Core,Offlane,offlane,dire,683,630,-432,6,Behind,0.426837,0,-0.426837
8731597906,invoker,Core,Mid,mid,dire,734,690,-856,5,Behind,0.412814,0,-0.412814
8731597977,silencer,Support,Offlane,support,radiant,956,900,1327,18,Very Ahead,0.662868,0,-0.662868
8731597984,invoker,Core,Mid,mid,dire,756,720,-786,5,Behind,0.417517,0,-0.417517
8731598009,invoker,Support,Offlane,support,radiant,935,900,125,11,Even,0.516195,1,0.483805
8731598020,warlock,Support,Safelane,support,radiant,1768,1710,1254,13,Ahead,0.611332,1,0.388668
8731598125,invoker,Core,Mid,mid,dire,520,480,205,11,Even,0.526557,1,0.473443
8731598162,obsidian_destroyer,Core,Mid,mid,dire,755,720,-2114,1,Very Behind,0.283174,1,0.716826
8731598174,ogre_magi,Core,Offlane,offlane,dire,834,780,24,10,Even,0.518263,1,0.481737
8731598179,ogre_magi,Support,Safelane,support,radiant,1250,1200,438,12,Ahead,0.552857,0,-0.552857
8731598234,enigma,Core,Safelane,carry,radiant,469,420,-744,2,Very Behind,0.366645,0,-0.366645
8731598237,ogre_magi,Core,Offlane,offlane,radiant,1367,1320,-6265,0,Very Behind,0.122178,0,-0.122178
8731598240,invoker,Core,Mid,mid,dire,489,450,-974,2,Very Behind,0.384818,0,-0.384818
8731598258,invoker,Support,Offlane,support,dire,779,720,376,13,Ahead,0.542232,1,0.457768
8731598273,ogre_magi,Core,Offlane,offlane,radiant,446,390,1088,19,Very Ahead,0.718008,1,0.281992
8731598274,ogre_magi,Support,Offlane,support,radiant,1301,1260,-3444,0,Very Behind,0.245821,1,0.754179
8731598275,furion,Support,Offlane,support,radiant,785,750,629,15,Ahead,0.573575,1,0.426425
8731598350,invoker,Core,Mid,mid,dire,463,420,129,11,Even,0.505629,1,0.494371
8731598359,ogre_magi,Support,Safelane,support,radiant,731,690,1763,19,Very Ahead,0.662017,0,-0.662017
8731598390,warlock,Support,Offlane,support,radiant,968,930,856,15,Ahead,0.594677,1,0.405323
8731598404,ogre_magi,Support,Safelane,support,dire,1662,1620,-762,7,Behind,0.416549,0,-0.416549
8731598445,ogre_magi,Core,Mid,mid,dire,494,450,1260,18,Very Ahead,0.648355,1,0.351645
8731598506,sniper,Core,Mid,mid,dire,1013,960,-2174,2,Very Behind,0.290897,1,0.709103
8731598522,ogre_magi,Support,Offlane,support,radiant,1330,1290,-1340,4,Behind,0.355605,0,-0.355605
8731598547,warlock,Support,Safelane,support,dire,1006,960,324,12,Ahead,0.529141,0,-0.529141
8731598555,ogre_magi,Core,Offlane,offlane,radiant,462,420,-64,9,Even,0.489092,1,0.510908
8731598570,furion,Support,Safelane,support,radiant,992,960,-1363,2,Very Behind,0.353081,0,-0.353081
8731598608,invoker,Support,Offlane,support,dire,848,810,-866,3,Very Behind,0.394648,0,-0.394648
8731598611,invoker,Core,Mid,mid,dire,511,480,558,14,Ahead,0.570399,0,-0.570399
8731598617,ogre_magi,Core,Mid,mid,dire,989,930,-2564,2,Very Behind,0.291872,0,-0.291872
8731598677,viper,Core,Offlane,offlane,dire,744,690,-116,9,Even,0.482019,0,-0.482019
8731598697,omniknight,Core,Offlane,offlane,radiant,777,720,952,15,Ahead,0.623932,1,0.376068
8731598720,ogre_magi,Support,Offlane,support,dire,824,780,477,14,Ahead,0.553447,1,0.446553
8731598741,invoker,Support,Safelane,support,radiant,845,810,-23,9,Even,0.493804,1,0.506196
8731598796,abaddon,Core,Offlane,offlane,radiant,563,510,105,11,Even,0.51791,0,-0.51791
8731598804,jakiro,Support,Safelane,support,dire,1810,1770,724,12,Ahead,0.578967,0,-0.578967
8731598806,vengefulspirit,Core,Offlane,offlane,dire,935,900,-678,6,Behind,0.423178,1,0.576822
8731598810,ogre_magi,Support,Offlane,support,radiant,1272,1230,-1013,5,Behind,0.386537,1,0.613463
8731598826,warlock,Support,Offlane,support,radiant,1479,1440,4663,19,Very Ahead,0.80614,1,0.19386
8731598827,obsidian_destroyer,Core,Mid,mid,dire,541,510,285,12,Ahead,0.537904,0,-0.537904
8731598828,ogre_magi,Core,Offlane,offlane,radiant,920,870,511,12,Ahead,0.554387,1,0.445613
8731598836,invoker,Core,Mid,mid,radiant,564,510,-25,9,Even,0.488977,0,-0.488977
8731598896,ogre_magi,Core,Offlane,offlane,radiant,643,600,-282,7,Behind,0.461058,0,-0.461058
8731598900,huskar,Core,Offlane,offlane,dire,2274,2220,-3724,10,Even,0.5,0,-0.5
8731598903,invoker,Core,Mid,mid,radiant,659,600,870,15,Ahead,0.575568,0,-0.575568
8731598904,obsidian_destroyer,Core,Mid,mid,radiant,558,510,-316,7,Behind,0.4607,1,0.5393
8731598905,ogre_magi,Core,Mid,mid,radiant,531,480,193,11,Even,0.526557,1,0.473443
8731598906,slark,Core,Safelane,carry,dire,721,690,-115,9,Even,0.494087,0,-0.494087
8731598925,spectre,Core,Safelane,carry,radiant,1148,1110,-1572,4,Behind,0.315842,1,0.684158
8731598926,invoker,Core,Mid,mid,radiant,763,720,-230,8,Even,0.485386,1,0.514614
8731598961,ogre_magi,Support,Offlane,support,radiant,1208,1170,867,14,Ahead,0.594627,1,0.405373
8731599001,slark,Core,Safelane,carry,radiant,664,630,1669,19,Very Ahead,0.802961,1,0.197039
8731599006,sniper,Support,Safelane,support,radiant,1092,1050,17,10,Even,0.507815,1,0.492185
8731599011,invoker,Core,Mid,mid,radiant,450,420,338,13,Ahead,0.546473,0,-0.546473
8731599013,ogre_magi,Support,Offlane,support,dire,1366,1320,2102,17,Very Ahead,0.708048,1,0.291952
8731599060,ogre_magi,Support,Offlane,support,radiant,1020,990,-506,6,Behind,0.431667,0,-0.431667
8731599076,invoker,Core,Mid,mid,radiant,461,420,-230,7,Behind,0.462246,1,0.537754
8731599078,warlock,Support,Offlane,support,radiant,989,930,1285,17,Very Ahead,0.630519,1,0.369481
8731599088,invoker,Support,Safelane,support,radiant,968,930,604,14,Ahead,0.583333,1,0.416667
8731599111,earthshaker,Support,Safelane,support,radiant,1176,1140,-628,6,Behind,0.417799,0,-0.417799
8731599127,lion,Support,Safelane,support,dire,1103,1050,-1592,2,Very Behind,0.337585,0,-0.337585
8731599148,tinker,Core,Mid,mid,radiant,916,870,1436,15,Ahead,0.615689,1,0.384311
8731599215,warlock,Support,Safelane,support,dire,830,780,1450,19,Very Ahead,0.68036,1,0.31964
8731599245,oracle,Support,Safelane,support,dire,960,930,80,10,Even,0.507518,0,-0.507518
8731599263,ogre_magi,Support,Offlane,support,dire,919,870,339,12,Ahead,0.550102,0,-0.550102
8731599286,ogre_magi,Support,Safelane,support,radiant,1010,960,824,15,Ahead,0.605115,0,-0.605115
8731599287,ogre_magi,Core,Offlane,offlane,radiant,756,720,62,10,Even,0.515501,0,-0.515501
8731599331,ogre_magi,Support,Offlane,support,dire,719,660,250,12,Ahead,0.522623,0,-0.522623
8731599395,ogre_magi,Support,Offlane,support,dire,834,780,863,16,Very Ahead,0.607458,1,0.392542
8731599415,ogre_magi,Core,Mid,mid,dire,1183,1140,-3877,1,Very Behind,0.217851,0,-0.217851
8731599431,ogre_magi,Support,Safelane,support,dire,1436,1380,-1040,5,Behind,0.377579,1,0.622421
8731599528,invoker,Core,Mid,mid,radiant,554,510,-85,9,Even,0.488977,1,0.511023
8731599563,invoker,Core,Mid,mid,radiant,920,870,-2910,1,Very Behind,0.265393,0,-0.265393
8731599582,ogre_magi,Support,Safelane,support,dire,985,930,1221,17,Very Ahead,0.630519,1,0.369481
8731599642,ogre_magi,Support,Safelane,support,radiant,1096,1050,837,14,Ahead,0.575485,1,0.424515
8731599662,obsidian_destroyer,Core,Mid,mid,radiant,1547,1500,-7434,0,Very Behind,0.098316,0,-0.098316
8731599663,ogre_magi,Support,Safelane,support,dire,818,780,604,15,Ahead,0.570479,1,0.429521
8731599692,invoker,Core,Mid,mid,dire,535,480,196,11,Even,0.526557,1,0.473443
8731599706,furion,Core,Safelane,carry,dire,1652,1620,-2056,6,Behind,0.350618,0,-0.350618
8731599754,invoker,Core,Mid,mid,dire,432,390,-33,9,Even,0.498183,0,-0.498183
8731599775,wisp,Core,Mid,mid,dire,1155,1110,-769,7,Behind,0.429608,0,-0.429608
8731599779,ogre_magi,Support,Offlane,support,dire,1218,1170,-125,9,Even,0.48337,1,0.51663
8731599801,obsidian_destroyer,Core,Mid,mid,dire,416,360,1255,19,Very Ahead,0.697399,1,0.302601
8731599806,bane,Support,Safelane,support,dire,1785,1740,-8627,0,Very Behind,0.181452,0,-0.181452
8731599814,rubick,Core,Mid,mid,radiant,882,840,-523,7,Behind,0.439974,1,0.560026
8731599843,ogre_magi,Support,Safelane,support,radiant,1021,990,829,15,Ahead,0.602758,0,-0.602758
8731599891,kunkka,Core,Mid,mid,radiant,757,720,-322,8,Even,0.485386,0,-0.485386
8731599915,ogre_magi,Support,Safelane,support,radiant,1087,1050,-169,8,Even,0.462875,1,0.537125
8731599938,ogre_magi,Core,Mid,mid,radiant,416,360,959,18,Very Ahead,0.638935,1,0.361065
8731599948,silencer,Support,Offlane,support,radiant,1050,1020,2182,19,Very Ahead,0.724243,1,0.275757
8731600022,invoker,Support,Safelane,support,radiant,938,900,-898,3,Very Behind,0.386213,1,0.613787
8731600046,ogre_magi,Support,Offlane,support,radiant,1037,990,784,15,Ahead,0.602758,1,0.397242
8731600047,silencer,Support,Offlane,support,dire,998,960,874,15,Ahead,0.605115,1,0.394885
8731600058,ogre_magi,Support,Safelane,support,radiant,886,840,1609,19,Very Ahead,0.697078,1,0.302922
8731600086,ogre_magi,Core,Offlane,offlane,dire,850,810,-1918,1,Very Behind,0.261326,0,-0.261326
8731600100,hoodwink,Support,Offlane,support,radiant,1243,1200,-170,9,Even,0.483783,0,-0.483783
8731600103,warlock,Support,Safelane,support,dire,1003,960,1467,18,Very Ahead,0.670572,1,0.329428
8731600104,ogre_magi,Core,Offlane,offlane,radiant,423,390,791,18,Very Ahead,0.649573,1,0.350427
8731600118,ogre_magi,Support,Safelane,support,radiant,893,840,903,16,Very Ahead,0.612047,1,0.387953
8731600124,silencer,Support,Safelane,support,dire,1053,1020,-1420,2,Very Behind,0.337075,1,0.662925
8731600142,slark,Core,Safelane,carry,dire,954,900,-1788,2,Very Behind,0.266601,0,-0.266601
8731600152,invoker,Core,Mid,mid,dire,600,570,-1909,0,Very Behind,0.260112,0,-0.260112
8731600168,spectre,Core,Safelane,carry,radiant,995,960,-2856,1,Very Behind,0.223537,0,-0.223537
8731600187,ogre_magi,Support,Safelane,support,radiant,870,840,2013,19,Very Ahead,0.697078,1,0.302922
8731600190,slark,Core,Safelane,carry,radiant,746,690,-695,5,Behind,0.39099,1,0.60901
8731600271,silencer,Support,Offlane,support,radiant,1074,1020,370,12,Ahead,0.554059,0,-0.554059
8731600273,invoker,Core,Mid,mid,radiant,1053,1020,-5580,0,Very Behind,0.166612,0,-0.166612
8731600300,ogre_magi,Support,Offlane,support,dire,887,840,49,10,Even,0.509907,1,0.490093
8731600320,lion,Core,Mid,mid,radiant,631,600,773,14,Ahead,0.572368,0,-0.572368
8731600414,morphling,Core,Safelane,carry,dire,1109,1050,-212,9,Even,0.488633,0,-0.488633
8731600466,ogre_magi,Support,Offlane,support,dire,1089,1050,-378,7,Behind,0.449873,0,-0.449873
8731600472,invoker,Core,Mid,mid,radiant,521,480,580,14,Ahead,0.570399,1,0.429601
8731600474,ogre_magi,Support,Offlane,support,radiant,1049,990,134,10,Even,0.502463,0,-0.502463
8731600475,ogre_magi,Core,Offlane,offlane,radiant,720,690,-727,4,Behind,0.385273,0,-0.385273
